location,time,life_expectancy,fertility_rate,pop_mlns
AUS,1960,70.9,3.5,10.275
AUS,1961,71.2,3.5,10.5082
AUS,1962,71,3.4,10.7005
AUS,1963,71.1,3.3,10.9069
AUS,1964,70.7,3.2,11.1216
AUS,1965,71,3,11.3409
AUS,1966,70.8,2.9,11.5995
AUS,1967,71.2,2.8,11.79908
AUS,1968,70.9,2.9,12.00863
AUS,1969,71.1,2.9,12.26301
AUS,1970,70.8,2.9,12.50735
AUS,1971,71.6,2.9,13.06726
AUS,1972,72,2.7,13.30366
AUS,1973,72.1,2.5,13.50454
AUS,1974,71.9,2.3,13.72257
AUS,1975,72.7,2.1,13.893
AUS,1976,72.8,2.1,14.03308
AUS,1977,73.4,2,14.19223
AUS,1978,73.7,1.9,14.35925
AUS,1979,74.3,1.9,14.51573
AUS,1980,74.6,1.9,14.69536
AUS,1981,74.9,1.9,14.92326
AUS,1982,74.7,1.9,15.18425
AUS,1983,75.5,1.9,15.39347
AUS,1984,75.8,1.8,15.57939
AUS,1985,75.6,1.9,15.78831
AUS,1986,76.1,1.9,16.01835
AUS,1987,76.3,1.8,16.26387
AUS,1988,76.3,1.8,16.53216
AUS,1989,76.5,1.8,16.81442
AUS,1990,77,1.9,17.06513
AUS,1991,77.4,1.8,17.28404
AUS,1992,77.5,1.9,17.479
AUS,1993,78,1.9,17.635
AUS,1994,78,1.8,17.805
AUS,1995,77.9,1.8,18.005
AUS,1996,78.2,1.8,18.225
AUS,1997,78.5,1.8,18.423
AUS,1998,78.7,1.8,18.608
AUS,1999,79,1.8,18.812
AUS,2000,79.3,1.8,19.029
AUS,2001,79.7,1.7,19.275
AUS,2002,80,1.8,19.495
AUS,2003,80.3,1.8,19.721
AUS,2004,80.6,1.8,19.933
AUS,2005,80.9,1.8,20.177
AUS,2006,81.1,1.9,20.451
AUS,2007,81.4,2,20.828
AUS,2008,81.5,2,21.249
AUS,2009,81.6,2,21.692
AUS,2010,81.8,2,22.032
AUS,2011,82,1.9,22.34
AUS,2012,82.1,1.9,22.728
AUS,2013,82.2,1.9,23.126
AUS,2014,82.4,1.8,23.491
