x,y
47.67863,-122.19617
47.67865,-122.19616
47.67867,-122.19615
47.67871,-122.19612
47.67871,-122.19612
47.67871,-122.19609
47.67871,-122.19607
47.6787,-122.19606
47.67869,-122.19603
47.67864,-122.19594
47.67863,-122.19593
47.67862,-122.19592
47.67861,-122.19592
47.67859,-122.19591
47.67856,-122.19584
47.67847,-122.19566
47.67847,-122.19566
47.67846,-122.19566
47.67834,-122.1958
47.67821,-122.19594
47.67819,-122.19598
47.67817,-122.19601
47.67815,-122.19606
47.67814,-122.19609
47.67814,-122.19611
47.67813,-122.19613
47.67812,-122.19617
47.67812,-122.1962
47.67812,-122.19624
47.67812,-122.19649
47.67811,-122.19698
47.67811,-122.19698
47.67842,-122.19698
47.67882,-122.19699
47.67898,-122.19699
47.67922,-122.197
47.67922,-122.197
47.67929,-122.19645
47.67933,-122.19593
47.67936,-122.19545
47.67938,-122.19493
47.67939,-122.19453
47.67939,-122.19435
47.67943,-122.19405
47.67943,-122.19367
47.67944,-122.1929
47.67945,-122.19241
47.67945,-122.19205
47.67944,-122.19166
47.67943,-122.19133
47.6794,-122.19087
47.67937,-122.19046
47.67935,-122.19005
47.67935,-122.18995
47.67933,-122.1897
47.67929,-122.18962
47.67929,-122.18961
47.67929,-122.1896
47.67923,-122.18861
47.67921,-122.18832
47.67917,-122.18781
47.67913,-122.18692
47.67913,-122.18692
47.67907,-122.1868
47.67905,-122.18676
47.67904,-122.18671
47.67903,-122.18668
47.679,-122.18665
47.67898,-122.18661
47.67894,-122.18658
47.6789,-122.18655
47.67886,-122.18654
47.67881,-122.18654
47.67864,-122.1866
47.67859,-122.18662
47.67853,-122.18663
47.67847,-122.18664
47.67841,-122.18664
47.67836,-122.18663
47.67828,-122.18662
47.67821,-122.1866
47.67814,-122.18657
47.67808,-122.18653
47.67803,-122.1865
47.67798,-122.18645
47.67793,-122.1864
47.67788,-122.18633
47.67784,-122.18627
47.67779,-122.18619
47.67775,-122.1861
47.67769,-122.18599
47.67758,-122.18578
47.67752,-122.18567
47.67747,-122.18558
47.67742,-122.1855
47.67738,-122.18543
47.67733,-122.18538
47.67729,-122.18533
47.67728,-122.18531
47.67726,-122.1853
47.67723,-122.18527
47.67718,-122.18523
47.67714,-122.18519
47.6771,-122.18517
47.67705,-122.18514
47.67699,-122.1851
47.67693,-122.18508
47.67686,-122.18506
47.67678,-122.18505
47.67666,-122.18505
47.67651,-122.18505
47.67621,-122.1851
47.67615,-122.1851
47.67607,-122.18507
47.67578,-122.18516
47.67568,-122.1852
47.67551,-122.18525
47.67537,-122.18531
47.67454,-122.18568
47.67444,-122.18573
47.67437,-122.18576
47.67436,-122.18576
47.67434,-122.18576
47.67433,-122.18576
47.67431,-122.18576
47.67423,-122.18571
47.67344,-122.18611
47.67276,-122.18646
47.67229,-122.18669
47.67197,-122.18682
47.67168,-122.18692
47.6715,-122.18698
47.67127,-122.18704
47.67099,-122.18711
47.67059,-122.18718
47.67019,-122.18722
47.66999,-122.18723
47.66985,-122.18723
47.66948,-122.18723
47.66944,-122.18723
47.66858,-122.18722
47.66517,-122.18721
47.66474,-122.18722
47.66426,-122.1872
47.66367,-122.1872
47.66268,-122.18719
47.66198,-122.18718
47.65955,-122.18717
47.6579,-122.18717
47.65675,-122.18717
47.65505,-122.18716
47.65468,-122.18716
47.65412,-122.18716
47.65371,-122.18716
47.65017,-122.18715
47.64969,-122.18715
47.64927,-122.18715
47.64902,-122.18714
47.64734,-122.18715
47.64652,-122.18715
47.64515,-122.18712
47.64418,-122.18702
47.64348,-122.18695
47.64294,-122.18689
47.6426,-122.18685
47.64195,-122.18678
47.64161,-122.18675
47.64128,-122.18674
47.64088,-122.18672
47.64067,-122.18673
47.64012,-122.18673
47.63998,-122.18673
47.63983,-122.18674
47.63722,-122.18674
47.63722,-122.18674
47.63715,-122.18684
47.63711,-122.18688
47.63708,-122.18691
47.63705,-122.18692
47.63692,-122.18694
47.63675,-122.18696
47.63661,-122.18698
47.63653,-122.18702
47.63598,-122.18718
47.63566,-122.18731
47.63565,-122.18731
47.63548,-122.18739
47.63529,-122.18746
47.63517,-122.18752
47.63513,-122.18754
47.635,-122.18762
47.63497,-122.18764
47.63468,-122.18776
47.63439,-122.18787
47.63433,-122.18791
47.63428,-122.18796
47.63423,-122.188
47.63419,-122.18806
47.63414,-122.18814
47.63411,-122.18818
47.63407,-122.18826
47.63404,-122.18835
47.63402,-122.18844
47.63402,-122.18845
47.63399,-122.18854
47.63398,-122.18863
47.63396,-122.18873
47.63396,-122.18882
47.63396,-122.18883
47.63395,-122.18892
